epoch,tr_loss,tr_f1,val_loss,val_acc,val_f1,val_auc
1,2.081299,0.325322,1.852427,0.601885,0.351943,0.820775
2,1.937607,0.320167,1.740837,0.605075,0.356733,0.822564
3,1.909012,0.335838,1.62651,0.61364,0.366028,0.826851
4,1.703557,0.350145,1.522502,0.632027,0.392553,0.837551
5,1.567475,0.403249,1.411109,0.672633,0.44838,0.85946
6,1.479479,0.473981,1.29368,0.734439,0.53436,0.893425
7,1.362555,0.570754,1.184845,0.797237,0.619904,0.927284
8,1.265584,0.597192,1.083089,0.837906,0.675529,0.949433
9,1.090395,0.639115,0.967745,0.857117,0.7023,0.960022
10,0.982952,0.650609,0.864891,0.865238,0.712645,0.964386
11,0.853963,0.639288,0.753907,0.87018,0.721476,0.967068
12,0.843719,0.648702,0.741801,0.870862,0.722524,0.967257
13,0.832911,0.663985,0.751763,0.871365,0.723068,0.967577
14,0.857891,0.652249,0.739365,0.871903,0.724662,0.967856
15,0.851283,0.623067,0.738319,0.873235,0.726948,0.968138
16,0.855955,0.662837,0.737454,0.872957,0.727074,0.969074
17,0.829183,0.676241,0.733919,0.875409,0.731716,0.970476
18,0.844965,0.676819,0.72003,0.877156,0.733445,0.972302
19,0.834233,0.677466,0.709727,0.87862,0.739398,0.975022
20,0.795146,0.657587,0.690852,0.88223,0.747032,0.977951
21,0.726783,0.697798,0.679957,0.887033,0.756044,0.981329
22,0.71264,0.696741,0.655692,0.892771,0.766445,0.984934
23,0.678086,0.675964,0.627389,0.898183,0.779736,0.988217
24,0.631083,0.689247,0.584865,0.90586,0.795695,0.99059
25,0.576482,0.706413,0.556961,0.914291,0.811912,0.992503
26,0.53223,0.73992,0.517874,0.92255,0.830556,0.993708
27,0.520856,0.730192,0.481148,0.931899,0.847613,0.99463
28,0.432725,0.773536,0.430509,0.940603,0.864126,0.995197
29,0.428785,0.812008,0.409663,0.947294,0.879115,0.995474
30,0.388572,0.783049,0.374922,0.953369,0.89532,0.995869
31,0.371825,0.867857,0.354822,0.959268,0.905577,0.995749
32,0.352735,0.879089,0.335493,0.96336,0.91335,0.996055
33,0.33066,0.896868,0.316631,0.965899,0.920033,0.996041
34,0.336255,0.904908,0.313253,0.969534,0.925242,0.99605
35,0.343029,0.901663,0.311474,0.971358,0.928592,0.995899
