epoch,tr_loss,tr_f1,val_loss,val_acc,val_f1,val_auc
1,2.038011,0.302284,1.85221,0.601455,0.352074,0.821003
2,1.917496,0.307217,1.744438,0.604535,0.357629,0.822962
3,1.813199,0.318619,1.632468,0.61286,0.367331,0.826852
4,1.69632,0.363679,1.515873,0.631755,0.394689,0.837414
5,1.634785,0.3959,1.408341,0.672287,0.448573,0.859743
6,1.451675,0.480091,1.289221,0.735231,0.533856,0.893271
7,1.395087,0.535621,1.18881,0.798104,0.620473,0.92774
8,1.2727,0.59738,1.087328,0.838009,0.675537,0.949726
9,1.076604,0.619452,0.966305,0.857208,0.702523,0.959824
10,1.014425,0.615413,0.863726,0.865234,0.713765,0.96458
11,0.827855,0.635919,0.746138,0.870774,0.721725,0.967296
12,0.873757,0.651496,0.742151,0.870792,0.721763,0.967298
13,0.871701,0.643807,0.739657,0.8715,0.722107,0.967585
14,0.845237,0.619847,0.742482,0.871874,0.723115,0.968019
15,0.838559,0.669719,0.738968,0.872847,0.725672,0.968423
16,0.813358,0.632208,0.732122,0.873687,0.728953,0.969262
17,0.826242,0.647313,0.725234,0.875463,0.730429,0.970462
18,0.835649,0.676617,0.718836,0.877157,0.733339,0.972299
19,0.81887,0.672681,0.705102,0.879486,0.739308,0.974664
20,0.761514,0.671366,0.687641,0.882455,0.74686,0.977935
21,0.716881,0.659524,0.672109,0.887515,0.755106,0.981466
22,0.696399,0.666896,0.648547,0.892821,0.764892,0.985076
23,0.650485,0.70876,0.619148,0.899018,0.779176,0.988016
24,0.629381,0.703677,0.591769,0.906337,0.79507,0.990693
25,0.581634,0.744772,0.557484,0.91375,0.812505,0.992384
26,0.539968,0.735147,0.516676,0.923042,0.8284,0.99372
27,0.509399,0.759709,0.479947,0.932954,0.847835,0.994603
28,0.450088,0.750655,0.430164,0.939778,0.865771,0.995021
29,0.414194,0.785056,0.405786,0.94712,0.882378,0.9957
30,0.401204,0.826951,0.377395,0.953988,0.895046,0.995817
31,0.384732,0.858299,0.359352,0.958217,0.904168,0.99621
32,0.34244,0.886579,0.332194,0.963471,0.91455,0.996267
33,0.333541,0.888268,0.317649,0.966664,0.920203,0.995895
34,0.343335,0.883739,0.315945,0.968835,0.925607,0.996104
35,0.315946,0.908169,0.301237,0.97152,0.929301,0.996091
36,0.3283,0.887634,0.299195,0.972006,0.932669,0.996096
37,0.321698,0.896338,0.295744,0.973431,0.935872,0.996134
38,0.294273,0.903069,0.283678,0.973689,0.935259,0.996007
39,0.299882,0.915303,0.290713,0.974482,0.937837,0.995906
40,0.307769,0.900504,0.282454,0.975326,0.938012,0.996035
41,0.312663,0.921933,0.287626,0.975419,0.940961,0.99608
42,0.305144,0.898499,0.278516,0.976808,0.941077,0.996162
43,0.290001,0.903105,0.277304,0.975827,0.940423,0.996287
44,0.290306,0.904767,0.269843,0.976463,0.94119,0.996169
45,0.30054,0.901326,0.27775,0.97691,0.941815,0.996186
46,0.291633,0.892566,0.269893,0.976721,0.94017,0.996376
47,0.29434,0.917476,0.273806,0.975907,0.942399,0.996423
48,0.286857,0.900269,0.264699,0.977514,0.941998,0.99664
49,0.284987,0.895631,0.270653,0.977354,0.943428,0.996488
