epoch,tr_loss,tr_f1,val_loss,val_acc,val_f1,val_auc
1,2.075607,0.316461,1.853282,0.602177,0.352672,0.821081
2,1.946598,0.31412,1.737776,0.60434,0.357197,0.822582
3,1.850801,0.328694,1.627966,0.612172,0.367079,0.82692
4,1.722921,0.337162,1.523032,0.63187,0.393378,0.837424
5,1.674709,0.393125,1.415159,0.672592,0.447915,0.859693
6,1.458172,0.476058,1.300266,0.734388,0.535777,0.893547
7,1.333925,0.571944,1.192669,0.796902,0.620505,0.927843
8,1.206153,0.607324,1.074326,0.837464,0.67606,0.949604
9,1.078565,0.640853,0.969594,0.857159,0.701826,0.959806
10,0.998386,0.645798,0.861788,0.864836,0.714326,0.964476
11,0.819012,0.642495,0.743482,0.871072,0.722227,0.967031
12,0.836863,0.627915,0.7482,0.870072,0.721952,0.967277
13,0.860263,0.645313,0.74504,0.871501,0.722405,0.967543
14,0.830824,0.633742,0.74269,0.871633,0.723672,0.967686
15,0.826475,0.629241,0.743026,0.872791,0.724844,0.9683
16,0.823582,0.631744,0.738873,0.874405,0.727599,0.969099
17,0.817477,0.662796,0.722848,0.874962,0.729941,0.970478
18,0.833796,0.679858,0.716843,0.876928,0.734762,0.972279
19,0.845151,0.676613,0.710606,0.879667,0.73916,0.974784
20,0.778536,0.644392,0.69277,0.882067,0.745941,0.978205
21,0.725982,0.670914,0.683292,0.887067,0.756181,0.981581
22,0.699542,0.707301,0.656377,0.892401,0.765313,0.985116
23,0.671463,0.724087,0.620315,0.898416,0.777913,0.988365
24,0.601717,0.707807,0.587531,0.906184,0.794927,0.990989
25,0.560388,0.742893,0.548746,0.914262,0.810172,0.992753
26,0.549073,0.721078,0.516486,0.922658,0.830212,0.993642
27,0.511287,0.752785,0.473771,0.93119,0.848951,0.994704
28,0.466258,0.772621,0.436741,0.940396,0.865422,0.995266
29,0.436255,0.781148,0.401341,0.948168,0.88084,0.995623
30,0.403669,0.773067,0.381605,0.953537,0.892466,0.99566
31,0.380105,0.867954,0.351681,0.959271,0.905493,0.996036
32,0.363027,0.873797,0.332402,0.962843,0.914092,0.995898
33,0.338673,0.893513,0.314002,0.966406,0.919614,0.995983
34,0.322416,0.891595,0.312155,0.96888,0.927237,0.995871
35,0.320974,0.90656,0.303212,0.970482,0.928587,0.996247
36,0.317744,0.911145,0.299114,0.972284,0.931079,0.99599
37,0.312189,0.889159,0.297457,0.97372,0.933068,0.995943
38,0.301182,0.899669,0.289282,0.974284,0.936064,0.996145
39,0.3119,0.892578,0.284711,0.974387,0.93742,0.996139
