epoch,tr_loss,tr_f1,val_loss,val_acc,val_f1,val_auc
1,2.161501,0.310235,1.854432,0.601657,0.353633,0.820747
2,2.044958,0.317635,1.738656,0.605512,0.356737,0.822633
3,1.878019,0.326321,1.626423,0.612534,0.367809,0.826922
4,1.772824,0.367188,1.521542,0.632692,0.395014,0.837528
5,1.6079,0.395668,1.404943,0.6732,0.450168,0.859688
6,1.443656,0.467649,1.303648,0.734416,0.535463,0.893507
7,1.327766,0.573559,1.195721,0.797568,0.620188,0.927027
8,1.239424,0.579339,1.07419,0.837415,0.67508,0.94968
9,1.112746,0.606032,0.974828,0.856745,0.702753,0.960049
10,0.986542,0.655462,0.860835,0.865194,0.712936,0.96447
11,0.836223,0.664101,0.751466,0.871031,0.722134,0.967072
12,0.865088,0.665792,0.746433,0.87152,0.722219,0.96744
13,0.825248,0.638226,0.740485,0.871241,0.722254,0.967749
14,0.827386,0.630252,0.735069,0.872298,0.724171,0.967604
15,0.837768,0.668718,0.733775,0.872865,0.726051,0.968557
16,0.816311,0.669186,0.731777,0.873648,0.72772,0.969057
17,0.835935,0.663503,0.732,0.874656,0.729808,0.970338
18,0.842195,0.645092,0.722054,0.876903,0.734503,0.972288
19,0.827944,0.662864,0.709689,0.880756,0.739734,0.97511
20,0.803568,0.690418,0.699944,0.882268,0.746884,0.977674
21,0.693863,0.653998,0.667866,0.886773,0.755529,0.981401
22,0.681905,0.701617,0.647194,0.89176,0.765167,0.985055
23,0.674039,0.678098,0.618963,0.899049,0.778769,0.988296
24,0.628908,0.717669,0.590843,0.906671,0.795118,0.99069
25,0.569259,0.751378,0.547059,0.914775,0.810476,0.992605
26,0.532304,0.760463,0.512641,0.923781,0.830622,0.993642
27,0.52537,0.744074,0.481756,0.931721,0.847494,0.994738
28,0.481248,0.766726,0.443518,0.9407,0.865029,0.995306
29,0.442055,0.790118,0.412707,0.947164,0.881988,0.99531
30,0.399834,0.782097,0.375768,0.954499,0.894055,0.99556
31,0.369765,0.872872,0.350511,0.959746,0.904807,0.996081
32,0.350976,0.877668,0.337146,0.963115,0.914,0.996077
33,0.338487,0.896471,0.317828,0.967,0.920477,0.996113
34,0.31936,0.880146,0.310203,0.968683,0.925206,0.995857
35,0.32352,0.907977,0.301774,0.970414,0.929766,0.995992
36,0.30387,0.895038,0.298394,0.971794,0.934132,0.995988
37,0.324948,0.899497,0.29759,0.972916,0.935252,0.996281
38,0.309795,0.89613,0.294123,0.973637,0.936393,0.996079
39,0.294908,0.917244,0.289932,0.974578,0.937356,0.996038
40,0.302599,0.905958,0.283593,0.975698,0.938589,0.996002
41,0.290623,0.913162,0.281513,0.975989,0.940786,0.996169
42,0.306621,0.900311,0.27695,0.97578,0.939682,0.996384
43,0.28859,0.907536,0.274352,0.976422,0.940876,0.996012
44,0.291049,0.917457,0.271318,0.976097,0.940644,0.996315
45,0.283954,0.900572,0.274455,0.976288,0.942142,0.996434
46,0.295325,0.921148,0.277915,0.976481,0.940815,0.996728
47,0.301053,0.904633,0.277512,0.976588,0.942256,0.996611
48,0.298101,0.908801,0.273448,0.976257,0.940673,0.996807
49,0.304797,0.912895,0.273801,0.976577,0.94228,0.996717
50,0.28406,0.899099,0.266849,0.977229,0.942003,0.996621
51,0.28872,0.906477,0.273032,0.976935,0.942545,0.996751
52,0.286506,0.924873,0.263344,0.977269,0.944709,0.997005
